gene_symbol,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significant
KIF20A,ENSG00000112984,382.9732053189855,6.332757740123097,0.48776691371693787,12.98316380638753,1.5245061818085698e-38,5.553928470946801e-34,Upregulated
RPS3AP6,ENSG00000234797,892.6547680972068,6.123947950478888,0.492396739557998,12.437019700772339,1.6452892739331622e-35,2.9969766769329515e-31,Upregulated
TOP2A,ENSG00000131747,2430.671353657727,6.909832210787058,0.5619421039652958,12.296341850928103,9.476981203292089e-35,8.631397555428352e-31,Upregulated
KNL1,ENSG00000137812,467.0848983018618,5.7975367308542,0.47070714749683684,12.3166532772761,7.368940617270814e-35,8.631397555428352e-31,Upregulated
NOX4,ENSG00000086991,187.5068081303537,4.062095000907133,0.34547218584761974,11.75809563638456,6.416522864430261e-32,4.675206889481177e-28,Upregulated
RN7SL4P,ENSG00000263740,39711.61477517135,13.032999350613098,1.1109726541739413,11.731161250142314,8.823970599439852e-32,5.357767881803221e-28,Upregulated
RRM2,ENSG00000171848,871.6928482197958,6.0401774651655655,0.5183302924967224,11.6531438594316,2.2114679200582453e-31,1.1509426827948847e-27,Upregulated
MELK,ENSG00000165304,325.9833160254983,6.3660775415729445,0.5499803881884624,11.575099182248428,5.510749159849319e-31,2.5095262830308817e-27,Upregulated
PIMREG,ENSG00000129195,635.661203614997,6.564277561016439,0.5825554924120462,11.268072563932627,1.8865445172746392e-29,7.636522589870264e-26,Upregulated
NCAPG,ENSG00000109805,357.91790616725007,5.693469036457625,0.5103789281026411,11.155376374223321,6.740696691393991e-29,2.4557032116417446e-25,Upregulated
SCARNA5,ENSG00000252010,7512.648545907183,11.906791854055845,1.095883106923564,10.865019981448008,1.6918614061157048e-27,5.6032911714728406e-24,Upregulated
NDC80,ENSG00000080986,239.42486575671236,5.324110059649966,0.4920320395676088,10.820657257053266,2.747995755681354e-27,8.342686114602284e-24,Upregulated
BUB1,ENSG00000169679,443.2742060938467,4.820756808419362,0.4482050029705793,10.755696113315812,5.571177117748386e-27,1.5612581044360878e-23,Upregulated
Z99129.4,ENSG00000279453,1191.2660140810417,-2.5867676174989946,0.24438695614676545,-10.584720470701077,3.508263153316181e-26,9.129252495604414e-23,Downregulated
PNPLA7,ENSG00000130653,1103.5358929062231,-2.174990163905088,0.20850065316627367,-10.431574821833252,1.7791479162736431e-25,4.321075849184339e-22,Downregulated
DLGAP5,ENSG00000126787,210.1637727719887,6.406889095284842,0.6173169338024719,10.37860577680979,3.1027318724543344e-25,7.064726552836491e-22,Upregulated
RN7SL674P,ENSG00000239899,4065.3767675631098,10.56489552515465,1.0212810701249404,10.344748213008758,4.420768178080008e-25,9.473706205625458e-22,Upregulated
H4C3,ENSG00000197061,2312.7692277320366,11.150138714336391,1.079324210828079,10.330666728750375,5.120343437732676e-25,9.817854304212586e-22,Upregulated
RN7SL5P,ENSG00000265735,9574.82157427686,11.678789455018329,1.13035646889618,10.331952597593345,5.052153418344304e-25,9.817854304212586e-22,Upregulated
H2BC17,ENSG00000274641,1049.4601489999263,10.180249592813544,0.9902906506782864,10.280062308818849,8.66715513232708e-25,1.578765643129039e-21,Upregulated
DTL,ENSG00000143476,343.6559723257269,4.393078052421744,0.4281524667043233,10.260545936444526,1.061051539888127e-24,1.8407223166506833e-21,Upregulated
MAGED4,ENSG00000154545,174.59997349858196,6.000123379726432,0.5867783550291066,10.225536317590995,1.523821079313738e-24,2.523378442749036e-21,Upregulated
SKA1,ENSG00000154839,123.60792725381091,4.356330153315008,0.42649132218084446,10.214346521845055,1.7102763685786206e-24,2.709003407986423e-21,Upregulated
ACTBP2,ENSG00000213763,89.34023638382155,3.7952263965261497,0.37331803560066923,10.166201561678168,2.8064013950443656e-24,4.260000384285886e-21,Upregulated
RN7SKP80,ENSG00000202058,4580.021443857032,9.949042547601897,0.9791183773718274,10.161225422310377,2.953407602752523e-24,4.3038236950350865e-21,Upregulated
RPLP0P6,ENSG00000213553,475.35215108944413,4.773164017537149,0.472030628024303,10.111979465221053,4.888640685201274e-24,6.849925723175677e-21,Upregulated
KIF14,ENSG00000118193,284.1504856207148,5.888439464126075,0.5829672534789958,10.100806570155378,5.478968342199753e-24,7.392751691654785e-21,Upregulated
SNRPGP10,ENSG00000235363,103.45996581859188,5.603520886061888,0.5567600502018263,10.064516812997995,7.927564294632429e-24,1.03146105292055e-20,Upregulated
ZNNT1,ENSG00000261087,774.6745342689336,-3.0377697166123876,0.3024556846149054,-10.043685310395658,9.794497118694408e-24,1.1894110817705197e-20,Downregulated
KIF2C,ENSG00000142945,465.99000548486976,4.359954631955909,0.4339762918961823,10.046527225959425,9.516201799715489e-24,1.1894110817705197e-20,Upregulated
